№ документа,"Дата
реєстрації",Адресати,Короткий зміст
3100/29/10,2025-12-15,"АТ ""Національна суспільна телерадіокомпанія України""",Направляється наказ Держкомтелерадіо від 12.12.2025 № 128 «Про погодження передачі в оренду (найм) нерухомого майна АТ «НСТУ»           
3101/23/10,2025-12-15,"Міністерство економіки, довкілля та сільського господарства України","Повідомляється, що  питання передачі єдиного майнового комплексу державного підприємства «Національне видавництво дитячої літератури «Веселка» із сфери управління Держкомтелерадіо до сфери управління МОН опрацьовується з урахуванням пункту 5 витягу з протоколу № 59 засідання Кабінету Міністрів України від 05.12.2025"
3102/24/01,2025-12-15,"Державна служба спеціального зв""язку та захисту інформації України",Щодо кіберзагроз у сфері державної безпеки України
3103/24/12,2025-12-15,Державна регуляторна служба України,Щодо здійснення регуляторними органами планування діяльності з підготовки проектів регуляторних актів на 2026 рік
3104/24/06,2025-12-15,Державна служба України з питань праці,"Надається щотижнева (станом на 15.12.2025) оперативна інформація стосовно погашення заборгованості із заробітної плати
підприємств, підпорядкованих Держкомтелерадіо."
3105/23/06,2025-12-15,Міністерство економічного розвитку і торгівлі України,"Надається щотижнева (станом на 15.12.2025) оперативна інформація про вжиті заходи щодо погашення заборгованості із заробітної плати по підприємствам, що входять до сфери управління Держкомтелерадіо"
3106/31/04,2025-12-16,"Національне видавництво дитячої літератури ""Веселка""","Щодо приймання-передачі справ, у зв""язку із зміною в.о.директора НВДЛ ""Веселка"""
3107/17/03-2,2025-12-16,"Дідович Л.Г.; ТОВ ""Контент Тейдінг""",Надсилається за належністю звернення гр. Дідович Л.Г.
3108/23/06,2025-12-16,Міністерство фінансів України,"Щодо виконання завдань, визначених пунктом 1 статті 2 Указу Президента України від 12.01.2015 № 7 «Питання підготовки та видання Великої української енциклопедії»."
3109/34/10,2025-12-16,"СП ""Енернозбут"" КП ""Київтеплоенерго""","Щодо надання акту розрахунку за грудень 2025 року на 43,56482 Гкал на суму 174 453,39 грн."
3110/23/12,2025-12-16,Міністерство культури України,Погоджується без зауважень проект постанови Кабінету Міністрів України «Про внесення змін щодо діяльності Міністерства культури до деяких постанов Кабінету Міністрів України».
3111/21/06,2025-12-16,Офіс Президента України; Кабінет Міністрів України,"Щорічне інформування у грудні про стан виконання завдання, визначеного абзацом четвертим пункту 2 статті 1 Указу Президента України від 19 червня 2013 р. № 336 «Про деякі заходи щодо державної підтримки книговидавничої справи і популяризації читання в України»."
3112/32/12,2025-12-16,Дарницький суд м.Києва,"Пояснення по справі № 753/22568/25 за позовною заявою Акціонерного товариства «Національна суспільна телерадіокомпанія України»  до Дарницької районної в місті Києві державної адміністрації, третя особа Державний комітет телебачення і радіомовлення України про визнання дій протиправними та зобов’язання вчинити дії."
3113/32/08,2025-12-16,"Головне управління урядового фельд""єгерського зв""язку",Прохання надіслати Держкомтелерадіо копію додаткової угоди № 2 від26.01.2024 щодо доставки відправлень.
3114/31/05-1,2025-12-16,"Державна наукова установа ""Енциклопедичне видавництво""; ДНУ ""Книжкова палата України імені Івана Федорова""",Про надання пропозицій щодо пріоритетів роботи Держкомтелерадіо на 2026 рік та до проекту Плану роботи Держкомтелерадіо на 2026 рік
3115/29/01,2025-12-16,"АТ ""ДАК ""Укрвидавполіграфія""; АТ ""Національна суспільна телерадіокомпанія України""","Щодо аналізу рівня цифрової зрілості та готовності органів влади до впровадження хмарних технологій, планування заходів з модернізації державної ІТ-інфраструктури, удосконалення нормативно-правового регулювання у сфері хмарних послуг, а також підготовки пропозицій щодо забезпечення потреби у хмарних ресурсах та послугах центрів обробки даних"
3116/32/01,2025-12-16,"Національне видавництво дитячої літератури ""Веселка""; ДП ""УСТФ ""Укртелефільм""; ДНУ ""Книжкова палата України імені Івана Федорова""; Державна наукова установа ""Енциклопедичне видавництво""; Український інститут підвищення кваліфікації працівників телебачення, радіомовлення і преси","Щодо аналізу рівня цифрової зрілості та готовності органів влади до впровадження хмарних технологій, планування заходів з модернізації державної ІТ-інфраструктури, удосконалення нормативно-правового регулювання у сфері хмарних послуг, а також підготовки пропозицій щодо забезпечення потреби у хмарних ресурсах та послугах центрів обробки даних"
3117/23/03-1,2025-12-16,Міністерство закордонних справ,"Щодо аналізу договірно- правової бази відносин з Російською Федерацією, Республікою Білорусь та в рамках Співдружності Незалежних Держав,"
3118/23/03-1,2025-12-16,Міністерство культури України,Надається інформація про стан виконання плану заходів щодо реалізації Стратегії комунікації з питань євроатлантичної інтеграції України на період до 2025 року за IV квартал 2025 року.
3119/23/13,2025-12-16,Міністерство оборони України,"Надається Відомість контролю щодо звіряння облікових даних військовозобов’язаних, оповіщення і прибуття військовозобов’язаних до
відповідних територіальних центрів комплектування та соціальної підтримки апарату Держкомтелерадіо, підприємств, установ та товариств сфери управління Держкомтелерадіо."
3120/17/12,2025-12-16,ТОВ «Sport Media Group»,Щодо  продовження терміну дії посвідки на тимчасове проживання в Україні працівникові іноземного засобу масової інформації (Унгуре Інесе)
3121/24/01,2025-12-16,Адміністрація Держспецзв’язку,Щодо виконання Плану реалізації Стратегії кібербезпеки України
3122/17/03-2,2025-12-16,Шмакова А.О.,"Повідомляється про неможливість розгляду звернення по суті, оскільки заявницею не вказано провайдера або оператора, послугами якого Вона користуєтеся."
3123/17/03-2,2025-12-16,Таран К.І.; Національна рада України з питань телебачення і радіомовлення,Надсилається за належністю звернення гр.Таран К.І.
3124/17/03-2,2025-12-16,"Штиб О.В.; АТ ""Національна суспільна телерадіокомпанія України""",Надсилається за належністю звернення гр.Штиба О.Я.
3125/17/03-2,2025-12-16,"Рибій П.В.; ДП ""УСТФ ""Укртелефільм""",Надсилається за належністю звернення гр.Рибія П.В.
3126/06/06,2025-12-16,Народному депутату України Юрчишину Я.Р.,"Щодо надання інформації щодо заходів, які Держкомтелерадіо вживає для забезпечення передбачення необхідних коштів у державному бюджеті та реального виконання рішення Міжвідомчої комісії про надання Рощину В.М одноразової грошової допомоги."
3127/27/11-2,2025-12-17,Рівненська міська рада,Щодо можливості надання адміністративних послуг 01461 та 01464 через ЦНАП м. Рівне.
3128/34/11-2,2025-12-17,ТОВ «РОЗЕТКА. УА»,Пропонуємо видалити зазначені комерційні пропозиції з маркетплейсу та попередити продавця «RBP-Books» про неприпустимість провадження діяльності у видавничій справі з порушенням вимог українського законодавства
3129/21/01,2025-12-17,Апарат Ради національної безпеки і оборони України,Щодо підвищення рівня кіберзахисту системи електронного документообігу «АСКОД»
3130/23/11,2025-12-17,МВС України,"Повідомляється, що передбачені рішенням Ради національної безпеки і оборони України від 25 травня 2025 р. «Про застосування персональних спеціальних економічних та інших обмежувальних заходів (санкцій)», введеним в дію Указом Президента України від 25 травня 2025 р. № 345/2025, обмежувальні заходи, що застосовуються до фізичних осіб, не стосуються повноважень
Держкомтелерадіо,"
3131/23/11,2025-12-17,МВС України,"Про надання інформації щодо  виконання пункту 3 Плану організації виконання рішення Ради національної безпеки і оборони України від 30 грудня 2023 року «Про застосування персональних спеціальних економічних та інших обмежувальних заходів (санкцій)», введеного в дію Указом Президента України від 30 грудня 2023 року № 877/2023."
3132/32/06-2,2025-12-18,"АТ ""Національна суспільна телерадіокомпанія України""; АТ ""ДАК ""Укрвидавполіграфія""; Національне видавництво дитячої літератури ""Веселка""; ДНУ ""Книжкова палата України імені Івана Федорова""; Державна наукова установа ""Енциклопедичне видавництво""; ДП ""УСТФ ""Укртелефільм""; Український інститут підвищення кваліфікації працівників телебачення, радіомовлення і преси",Прохання до 30 січня 2026 року надати інформацію щодо окремих показників фінансово-господарської діяльності.
3133/23/06,2025-12-18,Міністерство культури України,"Щодо можливості реалізації в 2025 Положення Порядку виплати одноразової грошової допомоги у разі загибелі (смерті) або поранення (контузії, травми або каліцтва) журналіста ....."
3134/24/12,2025-12-18,Державна регуляторна служба України,Щодо дотримання вимог законодавства про державну регуляторну політику.
3135/23/12,2025-12-18,"Міністерство фінансів України; Міністерство економіки, довкілля та сільського господарства України; Міністерство цифрової трансформації України","Державний комітет телебачення і радіомовлення України надсилає на розгляд та погодження проект розпорядження Кабінету Міністрів України «Про перерозподіл деяких видатків державного бюджету, передбачених Міністерству культури та стратегічних комунікацій на 2025 рік»."
3136/32/13,2025-12-18,"Київський міський
територіальний центр
комплектування та соціальної
підтримки",Щодо спеціальної перевірки Кари В.В.
3137/23/12,2025-12-18,Міністерство юстиції України,"Надсилається на правову експертизу та погодження проект розпорядження Кабінету Міністрів України «Про перерозподіл деяких видатків державного бюджету, передбачених Міністерству культури та стратегічних комунікацій на 2025 рік»."
3138/24/12,2025-12-18,Національне агентство з питань запобігання корупції,"На погодження проект розпорядження Кабінету Міністрів України «Про перерозподіл деяких видатків державного бюджету, передбачених Міністерству культури та стратегічних комунікацій на 2025 рік»."
3139/22/03-1,2025-12-18,Кабінет Міністрів України,"Надається список осіб, відповідальних за актуалізацію інформації про результати виконання євроінтеграційних зобов’язань України в інформаційній системі моніторингу виконання зобов’язань України у сфері європейської інтеграції «Пульс вступу» для надання доступу до зазначеної інформаційної системи."
3140/23/03-1,2025-12-18,Міністерство закордонних справ,"Інформуємо, що Держкомтелерадіо не був залучений до практичної реалізації Меморандуму про співпрацю між Кабінетом Міністрів
України та Світовим Конгресом Українців від 10.12.2020 р."
3141/23/11,2025-12-18,"Міністерство розвитку громад, територій та інфраструктури України","Повідомляється, що передбачені рішенням РНБО України від 25.11.2025 р. обмежувальні заходи, що застосовуються до суден, не
стосуються повноважень Держкомтелерадіо (Указ Президента № 860/2025"
3142/23/11,2025-12-18,"Міністерство економіки, довкілля та сільського господарства України","Повідомляється, що передбачені рішенням РНБО України від 29.11.2025 р. обмежувальні заходи, що застосовуються до фізичних та юридичних осіб, не стосуються повноважень Держкомтелерадіо"" (УПУ № 871/2025 від 29.11.25)"
3143/25/11,2025-12-18,Служба безпеки України,Звернення до СБУ з пропозицією обмеження доступу до веб сайту bookmoodd. 
3144/31/05-1,2025-12-18,"ДНУ ""Книжкова палата України імені Івана Федорова""; Державна наукова установа ""Енциклопедичне видавництво""",Надсилається для ознайомлення та врахування в роботі Методичні рекомендації з координації позиції щодо Російської Федерації як держави-агресора
3145/23/06-1,2025-12-18,Міністерство культури України,"З проханням надати офіційні роз’яснення щодо подальшого алгоритму дій Держкомтелерадіо в частині формування та
подання мережі розпорядників та одержувачів бюджетних коштів на 2026 рік."
3146/23/03-2,2025-12-18,Міністерство культури України,Щодо виконання заходів з реалізації Угод про співробітництво у сфері безпеки між Україною та країнами-партнерами за ІV квартал 2025 року
3147/32/06,2025-12-18,Головне управління Державної казначейської служби України у м. Києві,"Надсилається примірник наказу Міністерства культури України від 17.12.2025 № 1047 «Про затвердження змін до паспорта
бюджетної програми за КПКВК 3802130 «Державні стипендії видатним діячам інформаційної галузі, дітям журналістів, які загинули (померли) або яким встановлено інвалідність у зв’язку з виконанням професійних обов’язків та премій в інформаційній галузі» на 2025 рік."
3148/29/10,2025-12-18,"АТ ""Національна суспільна телерадіокомпанія України""","Щодо прийняття рішення про передачу в оренду (найм) рухомого майна АТ «НСТУ» Національному університету оборони України без проведення аукціону в електронній торговій системі «Prozorro.Продажі» згідно з переліком, що додається. Зауважуємо, що перелічене рухоме майно не використовується в господарській діяльності АТ «НСТУ»."
3149/23/13,2025-12-18,Міністерство культури України,Погодження відпустки  Голови з 31.12.2025 по 13.01.2026.
3150/23/12,2025-12-18,"Міністерство економіки, довкілля та сільського господарства України",Про погодження із зауваженнями проєкту розпорядження Кабінету Міністрів України «Про схвалення Стратегії збереження біологічного різноманіття України на період до 2035 року та затвердження операційного плану заходів з її реалізації у 2026-2028 роках».
3151/22/06-2,2025-12-18,Кабінет Міністрів України; Міністерство фінансів України,"Оперативна інформація про стан проведення розрахунків АТ «НСТУ» з Європейською мовною спілкою за січень – листопад 2025 року,"
3152/23/13,2025-12-18,Міністерство культури України,Погодження мат.дпомоги для вирішення соціально-побутових питань Наливайку О.І.
3153/17/03-2,2025-12-19,"Кузів М.М.; ТОВ ""ЗЕОНБУД""","Надсилається за належністю звернення гр. Кузіва М.М. зі скаргою на те, що у нього протягом місяця не працюють канали К1 та К2."
3154/23/12,2025-12-19,Міністерство культури України,Щодо погодження Стратегії збереження біологічного різноманіття України.
3155/29/07,2025-12-19,"УНІА ""Укрінформ""",Прохання до Укрінформу надати приміщення для проведення пресконференції Держкомтелерадіо спільно з Уповноваженим із захисту державної мови 22.12.2025.
3156/23/06,2025-12-19,Міністерство фінансів України,"Інформація на запит адвоката Капалкіної Є. О. щодо забезпечення виплати одноразової грошової допомоги у разі загибелі (смерті) або поранення (контузії, травми або каліцтва) журналіста під час виконання ним професійних обов''язків (Рощин В.М.)."
3157/23/06-1,2025-12-19,Міністерство культури України,Щодо погодження преміювання Голови Держкомтелерадіо за грудень 2025 року.
3158/29/10,2025-12-19,"АТ ""Національна суспільна телерадіокомпанія України""","Надається наказ Держкомтелерадіо ""Про встановлення права узуфрукта державного майна"" від 18.12.2025 №136"
3159/29/10,2025-12-19,"АТ ""Національна суспільна телерадіокомпанія України""","Щодо  погодження передачі в оренду (найм) нерухомого майна АТ «НСТУ» згідно з переліком, що додається, на
конкурентних засадах через електронні аукціони в електронній торговій системі"
3160/23/12,2025-12-19,Міністерство культури України,"На погодження проект розпорядження Кабінету Міністрів України «Про перерозподіл деяких видатків державного бюджету, передбачених Міністерству культури та стратегічних комунікацій на 2025 рік»."
3161/24/14,2025-12-19,Головне управління Державної казначейської служби України у м. Києві,Прохання залишити без розгляду фінансове бюджетне зобов’язання № 4830 від 18.12.2025.
3162/29/03-1,2025-12-22,"АТ ""Національна суспільна телерадіокомпанія України""",Погоджується УТОЧНЕНЕ ТЕХНІЧНЕ ЗАВДАННЯ на відрядження працівниці АТ «НСТУ» до м. Брюсселя (Бельгія) та м. Берліна (Німеччина) у період з 12 по 24 грудня 2025 року з метою висвітлення діяльності європейських інституцій в умовах євроінтеграційного курсу України та перебігу візиту Президента України до Німеччини.
3163/24/06,2025-12-22,Державна служба України з питань праці,"Надається щотижнева (станом на 22.12.2025) оперативна інформація стосовно погашення заборгованості із заробітної плати
підприємств, підпорядкованих Держкомтелерадіо."
3164/23/06,2025-12-22,Міністерство економічного розвитку і торгівлі України,"Надається щотижнева (станом на 22.12.2025) оперативна інформація про вжиті заходи щодо погашення заборгованості із заробітної плати по підприємствам, що входять до сфери управління Держкомтелерадіо,"
3165/23/06-1,2025-12-22,Міністерство фінансів України,Щодо погодження довідок про зміни до кошторису та плану асигнувань відповідно до довідок МФ.
3166/24/06,2025-12-22,Рахункова палата,Про забезпечення умов проведення аудиту фінансової звітності Держкомтелерадіо.
3167/24/13,2025-12-22,Національне агентство України з питань державної служби,Інформація про посади державної служби категорії «А».
3168/23/11,2025-12-22,"Міністерство розвитку громад, територій та інфраструктури України","Повідомляється, що передбачені  рішення Ради національної безпеки і оборони України від 13 грудня 2025 року ""Про застосування персональних спеціальних економічних та інших обмежувальних заходів (санкцій)""  обмежувальні заходи, що застосовуються до суден, не стосуються повноважень Держкомтелерадіо, подальше щоквартальне звітування прохання вважати недоцільним."
3169/23/12,2025-12-22,Міністерство культури України,Надсилається для внесення на розгляд Уряду проект постанови Кабінету Міністрів України «Про внесення змін до постанови Кабінету Міністрів України від 28 грудня 2016 р. № 1039 та розпорядження Кабінету Міністрів України від 16 січня 2017 р. № 18» (щодо змін до статуту НСТУ).
3170/23/06-2,2025-12-22,Міністерство культури України,Лист щодо дозволу на попередню оплату за теплову енергію.
3171/28/05-2,2025-12-23,Директору Навчально-наукового Інституту журналістики Київського національного університету імені Т.Г.Шевченка,Лист-подяка за сприяння в організації вручення диплома лауреату премії ім. В. Чорновола.
3172/28/05-2,2025-12-23,Ректору Київського національного університету імені Т.Г. Шевченка,Лист-подяка за сприяння в організації вручення диплома лауреату премії імені В.Чорновола.
3173/23/05-1,2025-12-23,Міністерство культури України,"Щодо удосконалення роботи, повязаної з формуванням та реалізаціює державної мовної політики."
3174/23/13,2025-12-23,Міністерство оборони України,"Відомість контролю щодо звіряння облікових даних військовозобов’язаних, оповіщення і прибуття військовозобов’язаних до відповідних територіальних центрів комплектування та соціальної підтримки апарату Держкомтелерадіо, підприємств, установ та товариств сфери управління Держкомтелерадіо."
3175/24/03-1,2025-12-23,Державна служба України з етнополітики та свободи совісті,"Інформацію про виконання у IV кварталі 2025 року Плану заходів щодо захисту прав осіб, які належать до національних меншин (спільнот)."
3176/17/03-2,2025-12-23,"Нехода В.А.; ТОВ ""ЗЕОНБУД""","Надсилається за належністю звернення гр. Неходи В.А. з повідомленням про зникнення приблизно з 14-15 грудня 2025 року з трансляції телевізійного мовлення Т2 деяких телевізійних каналів, а саме тв каналів Новий, ICTV та ICTV2 та ще деяких тв каналів."
3177/23/03-1,2025-12-23,Міністерство культури України,"Щодо стану виконання дорожніх карт з питань верховенства права, реформи державного управління, функціонування демократичних інституцій та плану заходів щодо захисту прав осіб, які належать до національних меншин (спільнот) України."
3178/23/05-2,2025-12-23,Міністерство культури України,Щодо прохання надати кандидатури до Комітетів з Премій КМУ імені Л. Українки та М. Рильського.
3179/24/10,2025-12-23,Фонд державного майна України,"Інформується про відсутність у сфері управління Державного комітету телебачення і радіомовлення України об’єктів малої приватизації державної власності, які можуть бути запропоновані до переліку об’єктів, що підлягають приватизації на 2026 рік."
3180/17/03-2,2025-12-23,Ярославська П.А.; ТОВ «Телерадіокомпанія «Кабельне телебачення»,"Надсилається за належністю звернення гр. Ярославської П.А. щодо нарахування неправомірної плати за послуги кабельного телебачення провайдером ""Altair""."
3181/17/03-2,2025-12-23,"Кушнарьова Л.В.; АТ ""Національна суспільна телерадіокомпанія України""","Надсилається за належністю звернення гр. Кушнарьової Л.В. з проханням припинити транслювати передачу в ефірі Українського радіо,   щочетверга з 19 години, в яких ведуть дискусії  політологи, депутати та інші політики, які обговорюють недоліки влади та президента."
3182/17/03-2,2025-12-23,"Кахлев О.З.; ТОВ ""ЗЕОНБУД""","Надсилається за належністю звернення гр. Кахлева О.З. з приводу припинення трансляції телебачення з 17.12.2025, з даного питання 19.12.2025 звертався до ТОВ ""Зеонбуд""."
3183/23/13,2025-12-23,Міністерство культури України,Щодо відкликання листа Держкомтелерадіо від 18.12.2025 № 3149/23/13.
3184/31/06-2,2025-12-24,"ДНУ ""Книжкова палата України імені Івана Федорова""",Лист щодо дозволу на попередню оплату за теплопостачання.
3185/24/10,2025-12-24,Фонд державного майна України,"Інформується про відсутність у сфері управління Державного комітету телебачення і радіомовлення України об’єктів права державної власності, які можуть бути запропоновані до переліку об’єктів, що підлягають приватизації."
3186/23/06-2,2025-12-24,Міністерство культури України,Лист щодо здійснення попередньої оплати за теплову енергію.
3187/34/11,2025-12-24,"Адміністрації
інтернет-магазину
«TopBooks»",Щодо розповсюдження книжковим інтернет-магазином TopBooks видавничої продукції держави агресора
3188/29/03-1,2025-12-24,"АТ ""Національна суспільна телерадіокомпанія України""","Погоджується ТЕХНІЧНЕ ЗАВДАННЯ на відрядження члена правління АТ «НСТУ» Родіона Кочубея до м. Франкфурта-на-Майні (Німеччина) у період з 08.01.2026 по 12.01.2026 з метою навчання за програмою безперервного професійного розвитку
Франкфуртської школи фінансів і менеджменту"
3189/23/06,2025-12-24,Міністерство культури України,"Інформується, що з 23 грудня 2025 року по 31 серпня 2025 року у Держкомтелерадіо буде здійснюватися фінансовий аудит Рахунковою палатою. Мета аудиту: перевірити, проаналізувати й оцінити правильність ведення, повноту обліку та достовірність консолідованої фінансової і зведеної бюджетної звітності Держкомтелерадіо (група) за 2025 рік,"
3190/24/06,2025-12-24,Головне управління Державної казначейської служби України у м. Києві,Надсилається розподіл відкритих асигнувань від 24 грудня 2025 р № 10.
3191/32/04,2025-12-24,"АТ ""Укрпошта""",Доручення на Укрпошту щодо отримання поштової кореспонденції у 2026 році.
3192/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3193/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3194/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3195/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3196/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3197/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3198/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3199/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3200/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3201/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3202/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3203/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3204/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3205/29/10,2025-12-25,"АТ ""Національна суспільна телерадіокомпанія України""","Довіреність представникам АТ НСТУ Барчуку А.Б., Лихошваю Г.Ю., Скибі В.В. та Заблоцькому В.В. представляти та діяти в інтересах Держкомтелерадіо в будь-яких територіальних органах з надання сервісних послуг МВС України з питань, що пов’язані з державною реєстрацією (перереєстрацією), постановкою на облік транспортного засобу."
3206/23/10,2025-12-25,"Міністерство економіки, довкілля та сільського господарства України","Інформація щодо виявлених факторів, які блокують роботу об'єктів державної власності, що мають стратегічне значення для економіки і безпеки держави та пропозиції щодо їх усунення за 4 квартал 2025 року."
3207/31/05-1,2025-12-25,"ДНУ ""Книжкова палата України імені Івана Федорова""; Державна наукова установа ""Енциклопедичне видавництво""",Інформування про початок громадського обговорення проєкту професійного стандарту «Фахівець з управління дослідницькими даними».
3208/23/06-2,2025-12-25,Міністерство культури України,Лист щодо здійснення попередньої оплати за постачання теплової енергії за грудень 2025 року АТ НСТУ.
3209/23/04,2025-12-25,Міністерство культури України,Щодо надання пропозицій до проєкту нормативно-правового акта на виконання Державної цільової національно-культурної програми «Єдність у розмаїтті» на період до 2034 року.
3210/23/12,2025-12-25,Міністерство культури України,Погоджується із зауваженнями проект постанови Кабінету Міністрів України «Про внесення змін до деяких актів Кабінету Міністрів України щодо питань діяльності Міністерства культури».
3211/24/14,2025-12-26,Головне управління Державної казначейської служби України у м. Києві,Надсилається акт приймання-передачі наданих послуг від 25.12.2025 № АНП94077 за грудень 2025 р.
3212/32/01,2025-12-26,"ДП ""ДІЯ""",Щодо доступу до підсистеми розсилки матеріалів до засідань КМУ.
3213/23/12,2025-12-26,Міністерство культури України,"На додаток до листа від 19.12.2025 № 3160/23/12  щодо погодження проекту розпорядження Кабінету Міністрів України «Про перерозподіл деяких видатків державного бюджету, передбачених Міністерству культури та стратегічних комунікацій на 2025 рік»."
3214/32/06-1,2025-12-26,Головне управління Державної казначейської служби України у м. Києві,"Надсилається примірник наказу Міністерства культури України від 26.12.2025 №1089 «Про затвердження змін допаспорта
бюджетної програми за КПКВК3802010 «Керівництво та управління у сфері телебачення і радіомовлення»на 2025 рік."
3215/31/06-2,2025-12-26,"ДНУ ""Книжкова палата України імені Івана Федорова""",Лист щодо  дозволу на попередню оплату.
3216/29/06-2,2025-12-26,"АТ ""Національна суспільна телерадіокомпанія України""",Лист щодо дозволу на попередню оплату.
3217/23/12,2025-12-26,Міністерство культури України,Про погодження проекту розпорядження Кабінету Міністрів України „Про утворення Організаційного комітету з підготовки та проведення у 2026 році заходів щодо вшанування учасників ліквідації наслідків аварії на Чорнобильській АЕС у зв’язку з 40-ми роковинами Чорнобильської катастрофи.
3218/23/12,2025-12-26,"Міністерство соціальної політики, сім’ї та єдності України",Про погодження проекту розпорядження Кабінету Міністрів України „Про утворення Організаційного комітету з підготовки та проведення у 2026 році заходів щодо вшанування учасників ліквідації наслідків аварії на Чорнобильській АЕС у зв’язку з 40-ми роковинами Чорнобильської катастрофи.
